FID,PD,LPI,ED,LSI,CONTAG,SHDI,SHEI,AI
11999,35.0911,44.7222,225.924,4.1842,3.2167,0.6929,0.9996,66.3155
12000,52.8886,78.6184,143.8036,2.8429,28.492,0.519,0.7487,78.9044
12001,27.3437,85.7143,80.6871,1.6522,46.5506,0.4101,0.5917,89.2633
12002,14.9796,67.3913,121.5569,2.9186,22.7192,0.609,0.8786,82.6823
12003,54.6875,77.7778,159.5812,3.2821,26.4205,0.5264,0.7594,76.4141
12004,29.8295,84.4156,113.6955,2.8023,40.7293,0.4327,0.6243,83.3367
12005,51.2695,72.3214,108.9276,1.8636,27.0094,0.5719,0.8251,84.6785
12006,51.8092,81.5789,164.347,2.9545,31.774,0.4777,0.6892,75.1824
12007,26.1008,95.4545,42.3607,1.2895,74.4572,0.1849,0.2668,94.0284
12008,82.0312,82.5397,145.2369,2.1739,34.4816,0.4631,0.6681,78.1088
12009,33.9538,83.8261,110.801,2.9583,40.0358,0.4425,0.6385,83.8417
12010,98.4375,78.5714,150.0781,1.9118,27.3456,0.5196,0.7496,77.5598
12011,41.0156,48.5714,154.9193,2.8824,9.9793,0.693,0.9999,77.7313
12012,30.625,77.3333,144.5914,2.28,26.1871,0.5352,0.7722,78.9429
12013,12.1528,98.1481,14.3444,1.2564,88.0456,0.0922,0.133,98.049
12014,27.1819,68.6391,130.3408,2.25,19.6895,0.622,0.8973,81.8523
12015,52.2017,79.5455,123.2313,1.8421,31.2747,0.5066,0.7309,82.6127
12016,42.5347,87.6543,92.0431,1.6111,48.3564,0.3738,0.5392,87.2896
12017,89.7217,56.25,164.1479,1.9688,8.2752,0.6853,0.9887,77.0139
12018,43.9593,82.2967,118.3669,2.7805,37.4933,0.4594,0.6628,82.7132
12019,19.9728,72.0,119.6415,3.1146,27.0064,0.5666,0.8174,82.8685
12020,42.9687,74.4898,192.4965,3.3857,19.4147,0.5679,0.8193,71.1037
12021,34.355,84.6154,81.825,2.2841,47.0402,0.4107,0.5925,88.3453
